vdes_x,vdes_y,vdes_z,vcur_x,vcur_y,vcur_z,fdes_x,fdes_y,fdes_z,fcur_x,fcur_y,fcur_z
0.00000001,0.00000000,0.00000000,-0.00282618,-0.00212483,-0.00161583,0.00000000,0.00000000,3.00000000,-1.92874611,-0.21069653,24.47022539
0.00042038,0.00000000,0.00000000,-0.00092804,0.00149625,0.00092255,0.00000000,0.00000000,3.00000000,-2.00115605,-0.20051267,25.07055296
0.00083677,0.00000000,0.00000000,-0.00300397,0.00110137,-0.00358687,0.00000000,0.00000000,3.00000000,-1.87283703,-0.20168192,24.02953528
0.00125573,0.00000000,0.00000000,-0.01215827,0.00081474,-0.01177386,0.00000000,0.00000000,3.00000000,-1.80280930,-0.20387675,23.36684616
0.00167458,0.00000000,0.00000000,-0.02727931,-0.00224173,-0.01489075,0.00000000,0.00000000,3.00000000,-1.83228300,-0.21597493,23.34352995
0.00209587,0.00000000,0.00000000,-0.02881061,-0.00469612,-0.01792223,0.00000000,0.00000000,3.00000000,-1.82855198,-0.22670893,23.28161426
0.00251287,0.00000000,0.00000000,-0.02234672,-0.00939519,-0.01530381,0.00000000,0.00000000,3.00000000,-1.82238586,-0.24568365,23.29606393
0.00293110,0.00000000,0.00000000,-0.01758808,-0.00713086,-0.01337414,0.00000000,0.00000000,3.00000000,-1.81806497,-0.24166846,23.31520995
0.00334987,0.00000000,0.00000000,-0.00456190,-0.00809702,-0.01274097,0.00000000,0.00000000,3.00000000,-1.78377004,-0.24848744,23.27000687
0.00376876,0.00000000,0.00000000,-0.00032099,-0.00310642,-0.01293918,0.00000000,0.00000000,3.00000000,-1.76874209,-0.23468588,23.24682361
0.00418970,0.00000000,0.00000000,0.00277870,-0.00228582,-0.01306530,0.00000000,0.00000000,3.00000000,-1.75671734,-0.23197128,23.23107284
0.00460634,0.00000000,0.00000000,-0.01334161,-0.00167230,-0.01946016,0.00000000,0.00000000,3.00000000,-1.77721961,-0.23033052,23.18837180
0.00502504,0.00000000,0.00000000,-0.02511088,0.00162605,-0.02409997,0.00000000,0.00000000,3.00000000,-1.79546856,-0.21905222,23.16440891
0.00544374,0.00000000,0.00000000,-0.03608328,-0.00493753,-0.03173553,0.00000000,0.00000000,3.00000000,-1.80641951,-0.23751029,23.10705475
0.00586473,0.00000000,0.00000000,-0.03874310,-0.00362434,-0.03661306,0.00000000,0.00000000,3.00000000,-1.80333675,-0.23620829,23.05421004
0.00628147,0.00000000,0.00000000,-0.02893250,-0.00574978,-0.03688760,0.00000000,0.00000000,3.00000000,-1.77868910,-0.24499899,23.01411539
0.00670210,0.00000000,0.00000000,-0.00993978,-0.01317936,-0.03358074,0.00000000,0.00000000,3.00000000,-1.73663794,-0.27161686,22.98730005
0.00712030,0.00000000,0.00000000,0.00410432,-0.00969850,-0.03118976,0.00000000,0.00000000,3.00000000,-1.70147840,-0.26671698,22.96830021
0.00753905,0.00000000,0.00000000,0.00256901,-0.01304816,-0.03285291,0.00000000,0.00000000,3.00000000,-1.69484856,-0.28190226,22.94974611
0.00795750,0.00000000,0.00000000,-0.00506387,-0.01573629,-0.03686163,0.00000000,0.00000000,3.00000000,-1.69953933,-0.29451134,22.92268577
0.00837612,0.00000000,0.00000000,-0.02250009,-0.00848821,-0.04322481,0.00000000,0.00000000,3.00000000,-1.72504907,-0.27812340,22.89733558
0.00879270,0.00000000,0.00000000,-0.04197027,-0.01239739,-0.05075627,0.00000000,0.00000000,3.00000000,-1.75673784,-0.29144467,22.86377390
0.00921322,0.00000000,0.00000000,-0.05301386,-0.00627338,-0.05963907,0.00000000,0.00000000,3.00000000,-1.76581203,-0.27528303,22.79343776
0.00963366,0.00000000,0.00000000,-0.04058861,-0.00461255,-0.05582181,0.00000000,0.00000000,3.00000000,-1.74491481,-0.27112383,22.78766384
0.01004900,0.00000000,0.00000000,-0.01649160,-0.00649743,-0.05334454,0.00000000,0.00000000,3.00000000,-1.68788099,-0.27692400,22.74265083
0.01046634,0.00000000,0.00000000,0.00650515,-0.00787071,-0.05079661,0.00000000,0.00000000,3.00000000,-1.62947495,-0.28134929,22.70456626
