vdes_x,vdes_y,vdes_z,vcur_x,vcur_y,vcur_z,fdes_x,fdes_y,fdes_z,fcur_x,fcur_y,fcur_z
0.00000001,0.00000000,0.00000000,0.00246061,-0.00166934,-0.00102805,0.00000000,0.00000000,3.00000000,-1.91133549,-0.20884026,24.44613254
0.00041854,0.00000000,0.00000000,-0.00353606,-0.00122742,-0.00142485,0.00000000,0.00000000,3.00000000,-1.93588037,-0.20826745,24.54289578
0.00083742,0.00000000,0.00000000,-0.00836811,0.00216909,-0.01163915,0.00000000,0.00000000,3.00000000,-1.78925156,-0.20053769,23.35244580
0.00125630,0.00000000,0.00000000,-0.03256380,-0.00432364,-0.02960892,0.00000000,0.00000000,3.00000000,-1.80100120,-0.22459701,23.16603776
0.00167512,0.00000000,0.00000000,-0.05267712,-0.00624750,-0.04702880,0.00000000,0.00000000,3.00000000,-1.81424467,-0.23797304,23.02336859
0.00209415,0.00000000,0.00000000,-0.06328204,-0.00459159,-0.06125983,0.00000000,0.00000000,3.00000000,-1.81241988,-0.24248453,22.88093199
0.00251286,0.00000000,0.00000000,-0.06879994,-0.00337437,-0.06750327,0.00000000,0.00000000,3.00000000,-1.81634747,-0.24745867,22.80154513
0.00293168,0.00000000,0.00000000,-0.05219309,-0.00248094,-0.06166939,0.00000000,0.00000000,3.00000000,-1.79070794,-0.25229459,22.78703026
0.00335072,0.00000000,0.00000000,-0.03580140,-0.00489368,-0.05883717,0.00000000,0.00000000,3.00000000,-1.75483367,-0.26487691,22.75079966
0.00376941,0.00000000,0.00000000,-0.01724906,-0.00359901,-0.05399346,0.00000000,0.00000000,3.00000000,-1.71459692,-0.26584818,22.73530567
0.00418811,0.00000000,0.00000000,-0.01010891,-0.00571956,-0.05320825,0.00000000,0.00000000,3.00000000,-1.69141577,-0.27507394,22.71366347
0.00460702,0.00000000,0.00000000,-0.01367909,0.00193493,-0.05961581,0.00000000,0.00000000,3.00000000,-1.67720035,-0.25673138,22.65014412
0.00502572,0.00000000,0.00000000,-0.03165232,-0.00187583,-0.07411184,0.00000000,0.00000000,3.00000000,-1.68333386,-0.26802934,22.53905636
0.00544438,0.00000000,0.00000000,-0.05904586,0.00453443,-0.09236495,0.00000000,0.00000000,3.00000000,-1.70766626,-0.25116785,22.41004202
0.00586321,0.00000000,0.00000000,-0.07501805,0.00333260,-0.10719796,0.00000000,0.00000000,3.00000000,-1.71455174,-0.25754503,22.27875621
0.00628180,0.00000000,0.00000000,-0.08613676,0.00244935,-0.12592593,0.00000000,0.00000000,3.00000000,-1.70148059,-0.26614872,22.09005169
0.00670044,0.00000000,0.00000000,-0.08432085,-0.00717926,-0.13057820,0.00000000,0.00000000,3.00000000,-1.68722022,-0.30390269,22.00168317
0.00712147,0.00000000,0.00000000,-0.06810241,-0.00222615,-0.13398700,0.00000000,0.00000000,3.00000000,-1.63539169,-0.30214966,21.89071906
0.00753774,0.00000000,0.00000000,-0.03258905,-0.01067590,-0.11232562,0.00000000,0.00000000,3.00000000,-1.58702923,-0.33634315,21.98859157
0.00795623,0.00000000,0.00000000,0.00226277,-0.01376899,-0.08932951,0.00000000,0.00000000,3.00000000,-1.53854153,-0.35265879,22.12360397
0.00837501,0.00000000,0.00000000,0.03718386,-0.01604387,-0.05549228,0.00000000,0.00000000,3.00000000,-1.51241641,-0.36037143,22.39002430
0.00879332,0.00000000,0.00000000,0.04805112,-0.01180238,-0.03038830,0.00000000,0.00000000,3.00000000,-1.52660903,-0.34226160,22.65085607
0.00921171,0.00000000,0.00000000,0.04882466,-0.01175408,-0.00688178,0.00000000,0.00000000,3.00000000,-1.56965680,-0.33032264,22.96052925
0.00963255,0.00000000,0.00000000,0.03222188,-0.00581205,0.00626559,0.00000000,0.00000000,3.00000000,-1.86334377,-0.29708012,25.14027526
0.01004851,0.00000000,0.00000000,0.00921637,-0.00140855,0.01476295,0.00000000,0.00000000,3.00000000,-2.03421535,-0.26502362,26.16249587
0.01046682,0.00000000,0.00000000,-0.01830227,0.00181040,0.01966401,0.00000000,0.00000000,3.00000000,-2.11871690,-0.23472705,26.36149437
0.01088519,0.00000000,0.00000000,-0.04201420,0.00724158,0.01694325,0.00000000,0.00000000,3.00000000,-2.17692954,-0.19838636,26.45414015
0.01130335,0.00000000,0.00000000,-0.06064446,0.00532419,0.01285310,0.00000000,0.00000000,3.00000000,-2.22118846,-0.18568008,26.51095693
0.01172152,0.00000000,0.00000000,-0.06480487,0.00698474,0.00902032,0.00000000,0.00000000,3.00000000,-2.22997092,-0.16710720,26.52120040
0.01213981,0.00000000,0.00000000,-0.05949610,0.00206734,0.00325712,0.00000000,0.00000000,3.00000000,-2.20238027,-0.17127817,26.42502084
0.01255777,0.00000000,0.00000000,-0.04072778,0.00151993,-0.00119315,0.00000000,0.00000000,3.00000000,-2.08707497,-0.16775325,25.83286440
0.01297578,0.00000000,0.00000000,-0.02158564,0.00111728,-0.00382730,0.00000000,0.00000000,3.00000000,-1.89946641,-0.16601876,24.63813955
0.01339380,0.00000000,0.00000000,-0.00333211,-0.00509097,-0.00723454,0.00000000,0.00000000,3.00000000,-1.73822875,-0.18507014,23.69068593
0.01381165,0.00000000,0.00000000,0.00590965,-0.00374448,-0.00826470,0.00000000,0.00000000,3.00000000,-1.69180395,-0.18346879,23.55026514
0.01423049,0.00000000,0.00000000,0.00735371,-0.00275376,-0.00965261,0.00000000,0.00000000,3.00000000,-1.67167149,-0.18239181,23.49189413
0.01464730,0.00000000,0.00000000,0.00540714,-0.00202483,-0.00709751,0.00000000,0.00000000,3.00000000,-1.68728645,-0.18097349,23.62302663
