vdes_x,vdes_y,vdes_z,vcur_x,vcur_y,vcur_z,fdes_x,fdes_y,fdes_z,fcur_x,fcur_y,fcur_z
0.00000001,0.00000000,0.00000000,-0.00022062,-0.00006889,-0.00002167,0.00000000,0.00000000,6.00000000,-7.79330413,0.04860518,18.92534357
0.00020898,0.00000000,0.00000000,0.00419169,0.00306241,0.00005333,0.00000000,0.00000000,6.00000000,-7.79417933,0.04818537,18.92509330
0.00041839,0.00000000,0.00000000,-0.00643206,0.00224594,-0.00499354,0.00000000,0.00000000,6.00000000,-7.79199092,0.04819383,18.92656502
0.00062791,0.00000000,0.00000000,-0.01465462,-0.00145690,-0.01115069,0.00000000,0.00000000,6.00000000,-7.78958522,0.04862112,18.92852718
0.00083837,0.00000000,0.00000000,-0.02497677,0.00219465,-0.01569677,0.00000000,0.00000000,6.00000000,-7.78630396,0.04834940,18.93073488
0.00104705,0.00000000,0.00000000,-0.03270215,0.00160427,-0.01910551,0.00000000,0.00000000,6.00000000,-7.78302074,0.04836219,18.93294269
0.00125635,0.00000000,0.00000000,-0.02363577,0.00428333,-0.01159880,0.00000000,0.00000000,6.00000000,-7.78323821,0.04794342,18.93245237
0.00146630,0.00000000,0.00000000,-0.01737924,0.00314951,-0.00852853,0.00000000,0.00000000,6.00000000,-7.78323821,0.04794342,18.93245237
0.00167575,0.00000000,0.00000000,-0.00761299,0.00541975,-0.00131229,0.00000000,0.00000000,6.00000000,-7.78454998,0.04752038,18.93122605
0.00188587,0.00000000,0.00000000,-0.00518474,0.00089401,0.00147304,0.00000000,0.00000000,6.00000000,-7.78476931,0.04793585,18.93074057
0.00209468,0.00000000,0.00000000,-0.00339688,-0.00245390,0.00353724,0.00000000,0.00000000,6.00000000,-7.78498861,0.04835133,18.93025507
0.00230466,0.00000000,0.00000000,-0.01632426,0.00127952,-0.00247318,0.00000000,0.00000000,6.00000000,-7.78192323,0.04794538,18.93197278
0.00251395,0.00000000,0.00000000,-0.02152776,0.00093464,-0.00684302,0.00000000,0.00000000,6.00000000,-7.77973466,0.04795393,18.93344491
0.00272334,0.00000000,0.00000000,-0.03051949,0.00377776,-0.01499964,0.00000000,0.00000000,6.00000000,-7.77623202,0.04755138,18.93613859
0.00293307,0.00000000,0.00000000,-0.02719508,0.00277461,-0.01353359,0.00000000,0.00000000,6.00000000,-7.77513760,0.04755566,18.93687469
0.00314196,0.00000000,0.00000000,-0.01917308,0.00533794,-0.00504898,0.00000000,0.00000000,6.00000000,-7.77557667,0.04726838,18.93589903
0.00335128,0.00000000,0.00000000,-0.00933724,0.00392839,-0.00120279,0.00000000,0.00000000,6.00000000,-7.77667101,0.04726405,18.93516290
0.00355992,0.00000000,0.00000000,-0.00126217,0.00289243,0.00654619,0.00000000,0.00000000,6.00000000,-7.77820239,0.04725641,18.93345101
0.00376967,0.00000000,0.00000000,-0.00092807,0.00212679,0.00481338,0.00000000,0.00000000,6.00000000,-7.77820239,0.04725641,18.93345101
0.00397942,0.00000000,0.00000000,-0.00542731,-0.00172275,0.00103440,0.00000000,0.00000000,6.00000000,-7.77710643,0.04754479,18.93418716
0.00418868,0.00000000,0.00000000,-0.01350686,-0.00127278,-0.00425684,0.00000000,0.00000000,6.00000000,-7.77491791,0.04755336,18.93565950
0.00439852,0.00000000,0.00000000,-0.01943488,-0.00094196,-0.00813725,0.00000000,0.00000000,6.00000000,-7.77272930,0.04756194,18.93713190
0.00460543,0.00000000,0.00000000,-0.01953018,0.00244315,-0.01099563,0.00000000,0.00000000,6.00000000,-7.77141520,0.04715091,18.93835346
0.00481462,0.00000000,0.00000000,-0.01953246,-0.00130833,-0.01303908,0.00000000,0.00000000,6.00000000,-7.77010294,0.04757382,18.93957991
0.00502388,0.00000000,0.00000000,-0.00919301,0.00214126,-0.00463536,0.00000000,0.00000000,6.00000000,-7.77141520,0.04715091,18.93835346
0.00523389,0.00000000,0.00000000,-0.00594149,0.00485236,0.00146429,0.00000000,0.00000000,6.00000000,-7.77185444,0.04686376,18.93737784
0.00544283,0.00000000,0.00000000,-0.00001280,0.00046637,0.00113837,0.00000000,0.00000000,6.00000000,-7.77273103,0.04727805,18.93713190
0.00565288,0.00000000,0.00000000,0.00039782,0.00342939,0.00327252,0.00000000,0.00000000,6.00000000,-7.77294873,0.04685942,18.93664161
0.00586063,0.00000000,0.00000000,-0.00449623,-0.00079397,-0.00011937,0.00000000,0.00000000,6.00000000,-7.77185273,0.04714762,18.93737784
0.00606947,0.00000000,0.00000000,-0.01325690,-0.00040138,-0.00756202,0.00000000,0.00000000,6.00000000,-7.76944796,0.04729104,18.93934058
0.00627838,0.00000000,0.00000000,-0.01451219,-0.00029847,-0.00806847,0.00000000,0.00000000,6.00000000,-7.76835356,0.04729537,18.94007683
0.00648832,0.00000000,0.00000000,-0.01541174,-0.00022276,-0.00842789,0.00000000,0.00000000,6.00000000,-7.76725914,0.04729971,18.94081310
0.00669660,0.00000000,0.00000000,-0.01133216,-0.00016380,-0.00619698,0.00000000,0.00000000,6.00000000,-7.76725914,0.04729971,18.94081310
0.00690549,0.00000000,0.00000000,-0.00315495,-0.00030569,0.00039998,0.00000000,0.00000000,6.00000000,-7.76856972,0.04716052,18.93958660
0.00711506,0.00000000,0.00000000,0.00283542,-0.00003314,0.00522977,0.00000000,0.00000000,6.00000000,-7.76988561,0.04728773,18.93836499
0.00732370,0.00000000,0.00000000,0.00726011,0.00308393,0.00880712,0.00000000,0.00000000,6.00000000,-7.77119764,0.04686480,18.93713844
0.00753260,0.00000000,0.00000000,0.00057741,0.00226421,0.00396667,0.00000000,0.00000000,6.00000000,-7.77010339,0.04686914,18.93787472
0.00774169,0.00000000,0.00000000,-0.00433204,0.00166149,0.00041088,0.00000000,0.00000000,6.00000000,-7.76900912,0.04687348,18.93861102
0.00795092,0.00000000,0.00000000,-0.00793520,0.00121833,-0.00219918,0.00000000,0.00000000,6.00000000,-7.76791483,0.04687782,18.93934732
0.00815838,0.00000000,0.00000000,-0.01104629,0.00401377,-0.00660019,0.00000000,0.00000000,6.00000000,-7.76660059,0.04646691,18.94056895
0.00836707,0.00000000,0.00000000,-0.00770652,-0.00015131,-0.00240788,0.00000000,0.00000000,6.00000000,-7.76682052,0.04688216,18.94008365
0.00857663,0.00000000,0.00000000,-0.00566656,-0.00011126,-0.00177050,0.00000000,0.00000000,6.00000000,-7.76682052,0.04688216,18.94008365
0.00878450,0.00000000,0.00000000,0.00061435,-0.00007846,0.00121565,0.00000000,0.00000000,6.00000000,-7.76791483,0.04687782,18.93934732
0.00899384,0.00000000,0.00000000,0.00519653,-0.00005437,0.00339332,0.00000000,0.00000000,6.00000000,-7.76900912,0.04687348,18.93861102
0.00920170,0.00000000,0.00000000,0.00382098,-0.00003998,0.00249509,0.00000000,0.00000000,6.00000000,-7.76900912,0.04687348,18.93861102
0.00941019,0.00000000,0.00000000,0.00280954,-0.00002939,0.00183462,0.00000000,0.00000000,6.00000000,-7.76900912,0.04687348,18.93861102
0.00961940,0.00000000,0.00000000,-0.00267911,-0.00002493,-0.00115019,0.00000000,0.00000000,6.00000000,-7.76791483,0.04687782,18.93934732
0.00982788,0.00000000,0.00000000,-0.00672950,-0.00002167,-0.00335164,0.00000000,0.00000000,6.00000000,-7.76682052,0.04688216,18.94008365
0.01003532,0.00000000,0.00000000,-0.00973121,-0.00332523,-0.00498355,0.00000000,0.00000000,6.00000000,-7.76572447,0.04717014,18.94081998
0.01024367,0.00000000,0.00000000,-0.00715850,0.00084449,-0.00366437,0.00000000,0.00000000,6.00000000,-7.76572618,0.04688651,18.94081998
0.01045198,0.00000000,0.00000000,-0.00009208,0.00372593,0.00225955,0.00000000,0.00000000,6.00000000,-7.76703840,0.04646361,18.93959340
0.01066026,0.00000000,0.00000000,0.00469384,0.00274309,0.00416937,0.00000000,0.00000000,6.00000000,-7.76813267,0.04645925,18.93885706
0.01086849,0.00000000,0.00000000,0.00862751,-0.00108091,0.00801907,0.00000000,0.00000000,6.00000000,-7.76944670,0.04687017,18.93763538
0.01107764,0.00000000,0.00000000,0.00078578,-0.00079858,-0.00146705,0.00000000,0.00000000,6.00000000,-7.76791483,0.04687782,18.93934732
0.01128478,0.00000000,0.00000000,-0.00420802,-0.00059054,-0.00359863,0.00000000,0.00000000,6.00000000,-7.76682052,0.04688216,18.94008365
0.01149289,0.00000000,0.00000000,-0.00785637,-0.00043755,-0.00515267,0.00000000,0.00000000,6.00000000,-7.76572618,0.04688651,18.94081998
0.01170182,0.00000000,0.00000000,-0.01051798,-0.00032505,-0.00628349,0.00000000,0.00000000,6.00000000,-7.76463183,0.04689085,18.94155633
0.01190886,0.00000000,0.00000000,-0.00773381,-0.00023901,-0.00462022,0.00000000,0.00000000,6.00000000,-7.76463183,0.04689085,18.94155633
0.01211771,0.00000000,0.00000000,-0.00094561,-0.00017242,-0.00090203,0.00000000,0.00000000,6.00000000,-7.76572618,0.04688651,18.94081998
0.01232467,0.00000000,0.00000000,0.00491640,-0.00012295,0.00676896,0.00000000,0.00000000,6.00000000,-7.76725827,0.04687885,18.93910807
0.01253455,0.00000000,0.00000000,0.00320998,-0.00315831,0.00255685,0.00000000,0.00000000,6.00000000,-7.76704041,0.04729741,18.93959832
0.01274126,0.00000000,0.00000000,0.00236028,-0.00232229,0.00188004,0.00000000,0.00000000,6.00000000,-7.76704041,0.04729741,18.93959832
0.01294888,0.00000000,0.00000000,-0.00303701,0.00449799,-0.00112459,0.00000000,0.00000000,6.00000000,-7.76594411,0.04646796,18.94032975
0.01315594,0.00000000,0.00000000,-0.00264371,0.00019802,-0.00327992,0.00000000,0.00000000,6.00000000,-7.76572618,0.04688651,18.94081998
0.01336433,0.00000000,0.00000000,-0.00668971,0.00014228,-0.00490926,0.00000000,0.00000000,6.00000000,-7.76463183,0.04689085,18.94155633
0.01357194,0.00000000,0.00000000,-0.00491890,0.00010462,-0.00360975,0.00000000,0.00000000,6.00000000,-7.76463183,0.04689085,18.94155633
0.01377833,0.00000000,0.00000000,-0.00278721,0.00007741,0.00226340,0.00000000,0.00000000,6.00000000,-7.76506975,0.04688754,18.94058081
0.01398569,0.00000000,0.00000000,0.00271256,0.00006025,0.00417139,0.00000000,0.00000000,6.00000000,-7.76616402,0.04688320,18.93984443
0.01419383,0.00000000,0.00000000,0.00673715,0.00004762,0.00556505,0.00000000,0.00000000,6.00000000,-7.76725827,0.04687885,18.93910807
0.01440053,0.00000000,0.00000000,0.00017777,0.00003167,0.00157674,0.00000000,0.00000000,6.00000000,-7.76616402,0.04688320,18.93984443
0.01460805,0.00000000,0.00000000,0.00447065,0.00312316,0.00122259,0.00000000,0.00000000,6.00000000,-7.76703840,0.04646361,18.93959340
0.01481476,0.00000000,0.00000000,-0.00106798,-0.00081428,0.00083561,0.00000000,0.00000000,6.00000000,-7.76616402,0.04688320,18.93984443
0.01502179,0.00000000,0.00000000,-0.00596556,0.00250049,-0.00433862,0.00000000,0.00000000,6.00000000,-7.76484980,0.04647232,18.94106611
0.01522975,0.00000000,0.00000000,-0.00438644,0.00183859,-0.00319016,0.00000000,0.00000000,6.00000000,-7.76484980,0.04647232,18.94106611
0.01543673,0.00000000,0.00000000,-0.00322532,0.00135191,-0.00234571,0.00000000,0.00000000,6.00000000,-7.76484980,0.04647232,18.94106611
0.01564282,0.00000000,0.00000000,-0.00195448,-0.00211943,0.00072899,0.00000000,0.00000000,6.00000000,-7.76506975,0.04688754,18.94058081
0.01585039,0.00000000,0.00000000,0.00330825,-0.00155511,0.00303439,0.00000000,0.00000000,6.00000000,-7.76616402,0.04688320,18.93984443
0.01605649,0.00000000,0.00000000,0.00243254,-0.00114346,0.00223117,0.00000000,0.00000000,6.00000000,-7.76616402,0.04688320,18.93984443
0.01626324,0.00000000,0.00000000,0.00655026,-0.00083746,0.00414834,0.00000000,0.00000000,6.00000000,-7.76725827,0.04687885,18.93910807
0.01647043,0.00000000,0.00000000,-0.00034189,-0.00080721,-0.00188665,0.00000000,0.00000000,6.00000000,-7.76594240,0.04675160,18.94032975
0.01667699,0.00000000,0.00000000,-0.00501703,0.00269279,-0.00389382,0.00000000,0.00000000,6.00000000,-7.76484980,0.04647232,18.94106611
0.01688267,0.00000000,0.00000000,-0.00368899,0.00197999,-0.00286310,0.00000000,0.00000000,6.00000000,-7.76484980,0.04647232,18.94106611
0.01708983,0.00000000,0.00000000,-0.00271249,0.00145588,-0.00210522,0.00000000,0.00000000,6.00000000,-7.76484980,0.04647232,18.94106611
0.01729614,0.00000000,0.00000000,-0.00157907,-0.00203053,0.00089602,0.00000000,0.00000000,6.00000000,-7.76506975,0.04688754,18.94058081
0.01750183,0.00000000,0.00000000,0.00319648,0.00161919,0.00072191,0.00000000,0.00000000,6.00000000,-7.76594411,0.04646796,18.94032975
0.01770871,0.00000000,0.00000000,0.00709309,0.00119397,0.00302845,0.00000000,0.00000000,6.00000000,-7.76703840,0.04646361,18.93959340
0.01791420,0.00000000,0.00000000,0.00044031,-0.00242685,-0.00028948,0.00000000,0.00000000,6.00000000,-7.76594240,0.04675160,18.94032975
0.01812071,0.00000000,0.00000000,0.00032044,0.00149715,-0.00021285,0.00000000,0.00000000,6.00000000,-7.76594411,0.04646796,18.94032975
0.01832657,0.00000000,0.00000000,-0.00452899,0.00109742,-0.00266442,0.00000000,0.00000000,6.00000000,-7.76484980,0.04647232,18.94106611
0.01853242,0.00000000,0.00000000,-0.00333014,0.00080693,-0.00195913,0.00000000,0.00000000,6.00000000,-7.76484980,0.04647232,18.94106611
0.01873823,0.00000000,0.00000000,-0.00244863,0.00059333,-0.00144054,0.00000000,0.00000000,6.00000000,-7.76484980,0.04647232,18.94106611
0.01894388,0.00000000,0.00000000,0.00296163,0.00043967,0.00144768,0.00000000,0.00000000,6.00000000,-7.76594411,0.04646796,18.94032975
0.01914972,0.00000000,0.00000000,0.00217767,0.00032328,0.00106447,0.00000000,0.00000000,6.00000000,-7.76594411,0.04646796,18.94032975
0.01936285,0.00000000,0.00000000,0.00698279,0.00024144,0.00791108,0.00000000,0.00000000,6.00000000,-7.76747609,0.04646030,18.93861780
0.01956134,0.00000000,0.00000000,0.00428091,0.00017703,0.00075327,0.00000000,0.00000000,6.00000000,-7.76703840,0.04646361,18.93959340
0.01976595,0.00000000,0.00000000,-0.00163570,0.00012677,-0.00196474,0.00000000,0.00000000,6.00000000,-7.76594411,0.04646796,18.94032975
0.01997105,0.00000000,0.00000000,-0.00120272,0.00009321,-0.00144466,0.00000000,0.00000000,6.00000000,-7.76594411,0.04646796,18.94032975
0.02017627,0.00000000,0.00000000,-0.00564663,0.00006516,-0.00356880,0.00000000,0.00000000,6.00000000,-7.76484980,0.04647232,18.94106611
0.02038156,0.00000000,0.00000000,0.00060552,0.00005129,-0.00011994,0.00000000,0.00000000,6.00000000,-7.76594411,0.04646796,18.94032975
0.02058632,0.00000000,0.00000000,-0.00431847,-0.00325842,-0.00259737,0.00000000,0.00000000,6.00000000,-7.76484809,0.04675592,18.94106611
0.02079121,0.00000000,0.00000000,0.00199879,-0.00220408,0.00304117,0.00000000,0.00000000,6.00000000,-7.76616402,0.04688320,18.93984443
0.02099603,0.00000000,0.00000000,0.00664054,0.00148437,0.00719112,0.00000000,0.00000000,6.00000000,-7.76747609,0.04646030,18.93861780
0.02120042,0.00000000,0.00000000,0.00488275,0.00109145,0.00528759,0.00000000,0.00000000,6.00000000,-7.76747609,0.04646030,18.93861780
0.02140548,0.00000000,0.00000000,-0.00198233,0.00079866,-0.00349227,0.00000000,0.00000000,6.00000000,-7.76594411,0.04646796,18.94032975
0.02160994,0.00000000,0.00000000,-0.00145759,0.00058725,-0.00256785,0.00000000,0.00000000,6.00000000,-7.76594411,0.04646796,18.94032975
0.02181427,0.00000000,0.00000000,-0.00542077,-0.00267414,-0.00195076,0.00000000,0.00000000,6.00000000,-7.76506975,0.04688754,18.94058081
0.02201949,0.00000000,0.00000000,0.00075491,-0.00196299,0.00106126,0.00000000,0.00000000,6.00000000,-7.76616402,0.04688320,18.93984443
0.02223190,0.00000000,0.00000000,0.00015609,0.00153559,-0.00156754,0.00000000,0.00000000,6.00000000,-7.76594411,0.04646796,18.94032975
