vdes_x,vdes_y,vdes_z,vcur_x,vcur_y,vcur_z,fdes_x,fdes_y,fdes_z,fcur_x,fcur_y,fcur_z
0.00000001,0.00000000,0.00000000,-0.00281109,0.00112153,-0.00074134,0.00000000,0.00000000,3.00000000,-2.68739822,0.07752345,23.75955187
0.00042081,0.00000000,0.00000000,-0.00206698,0.00082466,-0.00054510,0.00000000,0.00000000,3.00000000,-2.68739822,0.07752345,23.75955187
0.00083767,0.00000000,0.00000000,-0.01398127,0.00060540,-0.01373274,0.00000000,0.00000000,3.00000000,-2.68295974,0.07754316,23.76141118
0.00125654,0.00000000,0.00000000,-0.03572215,0.00044276,-0.02878353,0.00000000,0.00000000,3.00000000,-2.67446869,0.07757998,23.76460354
0.00167543,0.00000000,0.00000000,-0.05642200,-0.00250765,-0.04824632,0.00000000,0.00000000,3.00000000,-2.66403998,0.07772305,23.76874245
0.00209428,0.00000000,0.00000000,-0.07048080,0.00122607,-0.06042413,0.00000000,0.00000000,3.00000000,-2.65409427,0.07736216,23.77263908
0.00251310,0.00000000,0.00000000,-0.07965044,0.00090034,-0.06725378,0.00000000,0.00000000,3.00000000,-2.64462739,0.07740324,23.77629237
0.00293196,0.00000000,0.00000000,-0.07334517,0.00066167,-0.06686545,0.00000000,0.00000000,3.00000000,-2.63921406,0.07742731,23.77861259
0.00335077,0.00000000,0.00000000,-0.06100400,-0.00234103,-0.06177860,0.00000000,0.00000000,3.00000000,-2.63630898,0.07753693,23.78003056
0.00377142,0.00000000,0.00000000,-0.04007669,-0.00477764,-0.05470328,0.00000000,0.00000000,3.00000000,-2.63697882,0.07793948,23.78035554
0.00418838,0.00000000,0.00000000,-0.03057299,-0.00351203,-0.06014589,0.00000000,0.00000000,3.00000000,-2.63523073,0.07794905,23.78186216
0.00460720,0.00000000,0.00000000,-0.02775542,0.00331828,-0.06255279,0.00000000,0.00000000,3.00000000,-2.63242481,0.07746247,23.78355966
0.00502592,0.00000000,0.00000000,-0.03576264,0.00551084,-0.07332699,0.00000000,0.00000000,3.00000000,-2.62613377,0.07708736,23.78662407
0.00544463,0.00000000,0.00000000,-0.05056018,0.00405121,-0.08813760,0.00000000,0.00000000,3.00000000,-2.61684073,0.07712930,23.79081372
0.00586336,0.00000000,0.00000000,-0.06207387,0.00297741,-0.09119375,0.00000000,0.00000000,3.00000000,-2.60793522,0.07716868,23.79448216
0.00628399,0.00000000,0.00000000,-0.05506534,0.00218922,-0.08377310,0.00000000,0.00000000,3.00000000,-2.60405862,0.07718650,23.79635825
0.00670081,0.00000000,0.00000000,-0.03987206,0.00161033,-0.06944803,0.00000000,0.00000000,3.00000000,-2.60366674,0.07718908,23.79687100
0.00712116,0.00000000,0.00000000,-0.02281049,-0.00187415,-0.04838692,0.00000000,0.00000000,3.00000000,-2.60569705,0.07758445,23.79621080
0.00753980,0.00000000,0.00000000,-0.00906055,-0.00420343,-0.03078706,0.00000000,0.00000000,3.00000000,-2.60820997,0.07766894,23.79531718
0.00795650,0.00000000,0.00000000,0.00940511,-0.00617794,-0.00302674,0.00000000,0.00000000,3.00000000,-2.61411575,0.07804679,23.79277942
0.00837502,0.00000000,0.00000000,0.01636272,-0.00171396,0.01459715,0.00000000,0.00000000,3.00000000,-2.61799354,0.07793353,23.79090044
0.00879350,0.00000000,0.00000000,0.01494521,-0.00433173,0.02485589,0.00000000,0.00000000,3.00000000,-2.61983654,0.07832826,23.78967942
0.00921199,0.00000000,0.00000000,0.00265054,0.00247109,0.02128734,0.00000000,0.00000000,3.00000000,-2.61771894,0.07814515,23.79006061
0.00963039,0.00000000,0.00000000,-0.01409814,0.00464104,0.01386700,0.00000000,0.00000000,3.00000000,-2.61308378,0.07806888,23.79133793
0.01004878,0.00000000,0.00000000,-0.02460570,0.00316522,0.00270611,0.00000000,0.00000000,3.00000000,-2.60854015,0.07839720,23.79289293
0.01046893,0.00000000,0.00000000,-0.02812208,0.00843796,-0.00696259,0.00000000,0.00000000,3.00000000,-2.60505779,0.07760516,23.79426000
0.01088538,0.00000000,0.00000000,-0.03079675,0.00336365,-0.01415189,0.00000000,0.00000000,3.00000000,-2.60157022,0.07771589,23.79562396
0.01130359,0.00000000,0.00000000,-0.01430815,-0.00035101,-0.01342783,0.00000000,0.00000000,3.00000000,-2.60369123,0.07780260,23.79524235
0.01172181,0.00000000,0.00000000,-0.00635191,-0.00615485,-0.01138450,0.00000000,0.00000000,3.00000000,-2.60474931,0.07829745,23.79505044
0.01213993,0.00000000,0.00000000,0.00839009,-0.00452489,-0.00298201,0.00000000,0.00000000,3.00000000,-2.60881119,0.07828030,23.79373056
0.01255800,0.00000000,0.00000000,0.02457780,-0.00615485,0.00379873,0.00000000,0.00000000,3.00000000,-2.61441596,0.07835230,23.79198493
0.01297605,0.00000000,0.00000000,0.02932310,-0.00476747,0.01390579,0.00000000,0.00000000,3.00000000,-2.61838558,0.07864327,23.79038347
0.01339401,0.00000000,0.00000000,0.02510153,-0.00043414,0.01653558,0.00000000,0.00000000,3.00000000,-2.61983940,0.07823257,23.78967942
0.01381190,0.00000000,0.00000000,0.01012379,0.00250703,0.01516741,0.00000000,0.00000000,3.00000000,-2.61771894,0.07814515,23.79006061
0.01422976,0.00000000,0.00000000,-0.00979281,0.00774148,0.00726331,0.00000000,0.00000000,3.00000000,-2.61260038,0.07766725,23.79157409
0.01464755,0.00000000,0.00000000,-0.01789832,0.00568961,0.00415446,0.00000000,0.00000000,3.00000000,-2.60950810,0.07768018,23.79242561
0.01506545,0.00000000,0.00000000,-0.02857286,0.00135604,-0.00652646,0.00000000,0.00000000,3.00000000,-2.60447479,0.07779734,23.79421620
0.01548292,0.00000000,0.00000000,-0.02636136,0.00099623,-0.00538895,0.00000000,0.00000000,3.00000000,-2.60292839,0.07780376,23.79464184
0.01590052,0.00000000,0.00000000,-0.01639530,-0.00209288,-0.00757383,0.00000000,0.00000000,3.00000000,-2.60350286,0.07789695,23.79468556
0.01631804,0.00000000,0.00000000,-0.00135647,-0.00436488,-0.00438582,0.00000000,0.00000000,3.00000000,-2.60659278,0.07797945,23.79383445
0.01673550,0.00000000,0.00000000,0.01741055,-0.00320894,0.00276181,0.00000000,0.00000000,3.00000000,-2.61220044,0.07795611,23.79208813
0.01715283,0.00000000,0.00000000,0.02586067,-0.00518822,0.00742959,0.00000000,0.00000000,3.00000000,-2.61625849,0.07803463,23.79076698
0.01757205,0.00000000,0.00000000,0.03083291,-0.00075891,0.00874761,0.00000000,0.00000000,3.00000000,-2.61983572,0.07761597,23.78968177
0.01798737,0.00000000,0.00000000,0.01610911,-0.00080147,0.00371613,0.00000000,0.00000000,3.00000000,-2.61780733,0.07793278,23.79034135
0.01840465,0.00000000,0.00000000,-0.00002652,-0.00365957,-0.00056137,0.00000000,0.00000000,3.00000000,-2.61422993,0.07835153,23.79142642
0.01882166,0.00000000,0.00000000,-0.01842857,0.00013475,-0.00639612,0.00000000,0.00000000,3.00000000,-2.60862542,0.07827953,23.79317294
0.01923903,0.00000000,0.00000000,-0.02243593,0.00598892,-0.01158971,0.00000000,0.00000000,3.00000000,-2.60562944,0.07779356,23.79430385
0.01965541,0.00000000,0.00000000,-0.02421947,0.00157214,-0.01332082,0.00000000,0.00000000,3.00000000,-2.60311105,0.07789957,23.79519855
0.02007417,0.00000000,0.00000000,-0.01366206,0.00421194,-0.01129663,0.00000000,0.00000000,3.00000000,-2.60417395,0.07749160,23.79500893
0.02048894,0.00000000,0.00000000,-0.00348095,-0.00282947,-0.00560112,0.00000000,0.00000000,3.00000000,-2.60620110,0.07798205,23.79434777
0.02090774,0.00000000,0.00000000,0.01042893,-0.00207989,0.00124270,0.00000000,0.00000000,3.00000000,-2.61026275,0.07796500,23.79302750
0.02132213,0.00000000,0.00000000,0.02617736,-0.00152826,0.00694044,0.00000000,0.00000000,3.00000000,-2.61587006,0.07794167,23.79128138
0.02174059,0.00000000,0.00000000,0.02574485,-0.00417938,0.00778980,0.00000000,0.00000000,3.00000000,-2.61789942,0.07833714,23.79061971
0.02215685,0.00000000,0.00000000,0.02011028,-0.00000184,0.00783189,0.00000000,0.00000000,3.00000000,-2.61838473,0.07793094,23.79038586
0.02257310,0.00000000,0.00000000,0.01242462,0.00282757,0.00155281,0.00000000,0.00000000,3.00000000,-2.61741897,0.07783978,23.79085590
0.02298926,0.00000000,0.00000000,-0.00809307,0.00797503,-0.00274488,0.00000000,0.00000000,3.00000000,-2.61230007,0.07736174,23.79236839
0.02340528,0.00000000,0.00000000,-0.01782888,0.00279087,-0.00530665,0.00000000,0.00000000,3.00000000,-2.60872215,0.07778074,23.79345294
0.02382124,0.00000000,0.00000000,-0.02380760,0.00205008,-0.00508444,0.00000000,0.00000000,3.00000000,-2.60562944,0.07779356,23.79430385
0.02423712,0.00000000,0.00000000,-0.01750454,-0.00131895,-0.00373856,0.00000000,0.00000000,3.00000000,-2.60562660,0.07788873,23.79430385
0.02465286,0.00000000,0.00000000,-0.01287098,-0.00096982,-0.00274894,0.00000000,0.00000000,3.00000000,-2.60562660,0.07788873,23.79430385
0.02506654,0.00000000,0.00000000,0.00128853,-0.00355350,-0.00083032,0.00000000,0.00000000,3.00000000,-2.60871646,0.07797130,23.79345294
0.02548414,0.00000000,0.00000000,0.01690571,-0.00261202,0.00116400,0.00000000,0.00000000,3.00000000,-2.61335519,0.07795241,23.79217664
0.02589938,0.00000000,0.00000000,0.02313295,-0.00191993,0.00204979,0.00000000,0.00000000,3.00000000,-2.61644746,0.07793983,23.79132583
0.02631275,0.00000000,0.00000000,0.02775896,0.00143301,0.00270911,0.00000000,0.00000000,3.00000000,-2.61954241,0.07783157,23.79047506
0.02672987,0.00000000,0.00000000,0.01273901,0.00105284,-0.00278791,0.00000000,0.00000000,3.00000000,-2.61702772,0.07784240,23.79137034
0.02714488,0.00000000,0.00000000,0.00818519,0.00384534,-0.00415155,0.00000000,0.00000000,3.00000000,-2.61654437,0.07744065,23.79160642
0.02755794,0.00000000,0.00000000,-0.00473149,-0.00334698,-0.00425092,0.00000000,0.00000000,3.00000000,-2.61345003,0.07826129,23.79245463
0.02797472,0.00000000,0.00000000,-0.01827090,0.00059268,-0.00280400,0.00000000,0.00000000,3.00000000,-2.60929667,0.07787415,23.79349702
0.02838939,0.00000000,0.00000000,-0.01642128,0.00043521,0.00154889,0.00000000,0.00000000,3.00000000,-2.60871930,0.07787602,23.79345294
0.02880394,0.00000000,0.00000000,-0.01506164,0.00031942,0.00474944,0.00000000,0.00000000,3.00000000,-2.60814195,0.07787789,23.79340891
0.02921840,0.00000000,0.00000000,-0.00635231,0.00023505,0.01189833,0.00000000,0.00000000,3.00000000,-2.61007976,0.07786892,23.79246964
0.02963274,0.00000000,0.00000000,0.00838717,0.00017426,0.01414239,0.00000000,0.00000000,3.00000000,-2.61414077,0.07785174,23.79114834
0.03004688,0.00000000,0.00000000,0.01387581,0.00012889,0.01520037,0.00000000,0.00000000,3.00000000,-2.61665542,0.07784091,23.79025248
