vdes_x,vdes_y,vdes_z,vcur_x,vcur_y,vcur_z,fdes_x,fdes_y,fdes_z,fcur_x,fcur_y,fcur_z
0.00015804,0.00000000,0.00000000,-0.00249972,0.00036980,-0.00130685,0.00000000,0.00000000,6.00000000,-7.79069372,0.04129573,18.92777157
0.00036716,0.00000000,0.00000000,-0.00183284,-0.00302857,-0.00096092,0.00000000,0.00000000,6.00000000,-7.79069220,0.04158028,18.92777157
0.00057750,0.00000000,0.00000000,-0.01123608,0.00412571,-0.00814484,0.00000000,0.00000000,6.00000000,-7.78828562,0.04089004,18.92972877
0.00078607,0.00000000,0.00000000,-0.01782247,0.00302205,-0.01103782,0.00000000,0.00000000,6.00000000,-7.78609684,0.04089981,18.93120055
0.00100491,0.00000000,0.00000000,-0.02716733,0.00832051,-0.01766087,0.00000000,0.00000000,6.00000000,-7.78259526,0.04021483,18.93389367
0.00121187,0.00000000,0.00000000,-0.03003574,0.00924468,-0.02054078,0.00000000,0.00000000,6.00000000,-7.78018631,0.03980935,18.93585086
0.00142229,0.00000000,0.00000000,-0.02208510,0.00679756,-0.01510351,0.00000000,0.00000000,6.00000000,-7.78018631,0.03980935,18.93585086
0.00162837,0.00000000,0.00000000,-0.01582490,0.00815261,-0.00861500,0.00000000,0.00000000,6.00000000,-7.78040365,0.03939052,18.93536050
0.00183243,0.00000000,0.00000000,-0.01121809,0.00917978,-0.00381944,0.00000000,0.00000000,6.00000000,-7.78062096,0.03897168,18.93487011
0.00204165,0.00000000,0.00000000,-0.00783060,0.00364519,-0.00036128,0.00000000,0.00000000,6.00000000,-7.78084079,0.03938703,18.93438481
0.00225953,0.00000000,0.00000000,-0.01033015,0.00267446,-0.00267794,0.00000000,0.00000000,6.00000000,-7.77974630,0.03939200,18.93512080
0.00246239,0.00000000,0.00000000,-0.01207497,-0.00123870,-0.00203720,0.00000000,0.00000000,6.00000000,-7.77887168,0.03981229,18.93537150
0.00266987,0.00000000,0.00000000,-0.01808438,0.00221064,-0.00409495,0.00000000,0.00000000,6.00000000,-7.77690010,0.03940340,18.93635321
0.00287899,0.00000000,0.00000000,-0.02325238,0.00471916,-0.01048348,0.00000000,0.00000000,6.00000000,-7.77449108,0.03899804,18.93831061
0.00308829,0.00000000,0.00000000,-0.02103347,0.00346474,-0.00532437,0.00000000,0.00000000,6.00000000,-7.77383410,0.03899954,18.93807112
0.00329756,0.00000000,0.00000000,-0.01982866,0.00893697,-0.00397447,0.00000000,0.00000000,6.00000000,-7.77295852,0.03830189,18.93831690
0.00350736,0.00000000,0.00000000,-0.00983059,0.00657775,-0.00042004,0.00000000,0.00000000,6.00000000,-7.77405297,0.03829686,18.93758077
0.00371630,0.00000000,0.00000000,-0.00722838,0.00483658,-0.00030885,0.00000000,0.00000000,6.00000000,-7.77405297,0.03829686,18.93758077
0.00392565,0.00000000,0.00000000,-0.00531498,0.00355631,-0.00022710,0.00000000,0.00000000,6.00000000,-7.77405297,0.03829686,18.93758077
0.00413738,0.00000000,0.00000000,-0.00350657,0.00567728,0.00225079,0.00000000,0.00000000,6.00000000,-7.77427040,0.03787811,18.93709039
0.00434433,0.00000000,0.00000000,-0.00739701,0.00416799,-0.00088479,0.00000000,0.00000000,6.00000000,-7.77317598,0.03788315,18.93782654
0.00455350,0.00000000,0.00000000,-0.01496653,0.00305193,-0.00566952,0.00000000,0.00000000,6.00000000,-7.77098709,0.03789322,18.93929887
0.00476263,0.00000000,0.00000000,-0.02053374,0.00223133,-0.00918508,0.00000000,0.00000000,6.00000000,-7.76879811,0.03790330,18.94077126
0.00497187,0.00000000,0.00000000,-0.01985845,0.00163433,-0.00925861,0.00000000,0.00000000,6.00000000,-7.76770359,0.03790834,18.94150747
0.00518096,0.00000000,0.00000000,-0.01460180,0.00120171,-0.00680780,0.00000000,0.00000000,6.00000000,-7.76770359,0.03790834,18.94150747
0.00539009,0.00000000,0.00000000,-0.00597452,0.00088995,-0.00249885,0.00000000,0.00000000,6.00000000,-7.76879811,0.03790330,18.94077126
0.00559922,0.00000000,0.00000000,-0.00398602,0.00375630,0.00061123,0.00000000,0.00000000,6.00000000,-7.76901572,0.03748461,18.94028093
0.00580839,0.00000000,0.00000000,-0.00251923,0.00295127,0.00289257,0.00000000,0.00000000,6.00000000,-7.76923729,0.03761605,18.93979573
0.00601746,0.00000000,0.00000000,-0.00660769,-0.00112656,-0.00038071,0.00000000,0.00000000,6.00000000,-7.76814148,0.03790485,18.94053197
0.00622644,0.00000000,0.00000000,-0.00485860,-0.00082835,-0.00027993,0.00000000,0.00000000,6.00000000,-7.76814148,0.03790485,18.94053197
