vdes_x,vdes_y,vdes_z,vcur_x,vcur_y,vcur_z,fdes_x,fdes_y,fdes_z,fcur_x,fcur_y,fcur_z
0.00031848,0.00000000,0.00000000,-0.00353293,-0.00053337,-0.00136467,0.00000000,0.00000000,6.00000000,-7.79723302,0.04774918,18.91996213
0.00073598,0.00000000,0.00000000,-0.00300743,-0.00350593,-0.00346228,0.00000000,0.00000000,6.00000000,-7.79701627,0.04816804,18.92045272
0.00115542,0.00000000,0.00000000,-0.00180355,0.00052186,-0.00009795,0.00000000,0.00000000,6.00000000,-7.79723302,0.04774918,18.91996213
0.00157561,0.00000000,0.00000000,-0.01595856,0.00346629,-0.01003597,0.00000000,0.00000000,6.00000000,-7.79373278,0.04734634,18.92265570
0.00199412,0.00000000,0.00000000,-0.02601818,0.00583413,-0.01492801,0.00000000,0.00000000,6.00000000,-7.79045278,0.04707457,18.92486369
0.00241263,0.00000000,0.00000000,-0.02865774,0.00428318,-0.01600855,0.00000000,0.00000000,6.00000000,-7.78826486,0.04708315,18.92633575
0.00283455,0.00000000,0.00000000,-0.03051457,0.00314291,-0.01675618,0.00000000,0.00000000,6.00000000,-7.78607685,0.04709174,18.92780787
0.00324921,0.00000000,0.00000000,-0.02201820,-0.00082529,-0.00984743,0.00000000,0.00000000,6.00000000,-7.78629601,0.04750721,18.92732231
0.00366940,0.00000000,0.00000000,-0.02052486,0.00248140,-0.00730478,0.00000000,0.00000000,6.00000000,-7.78541920,0.04709275,18.92756794
0.00408834,0.00000000,0.00000000,-0.01467791,-0.00127567,-0.00292622,0.00000000,0.00000000,6.00000000,-7.78563834,0.04750820,18.92708238
0.00450687,0.00000000,0.00000000,-0.01038368,0.00216739,0.00029965,0.00000000,0.00000000,6.00000000,-7.78585547,0.04708946,18.92659189
0.00492566,0.00000000,0.00000000,-0.01198527,0.00469269,0.00015559,0.00000000,0.00000000,6.00000000,-7.78497873,0.04667503,18.92683754
0.00534442,0.00000000,0.00000000,-0.01791638,0.00034238,-0.00246575,0.00000000,0.00000000,6.00000000,-7.78301019,0.04709906,18.92782435
0.00576322,0.00000000,0.00000000,-0.01793072,0.00024858,-0.00432401,0.00000000,0.00000000,6.00000000,-7.78191633,0.04710336,18.92856056
0.00618192,0.00000000,0.00000000,-0.02270385,0.00017645,-0.00820211,0.00000000,0.00000000,6.00000000,-7.77972854,0.04711195,18.93003301
0.00660422,0.00000000,0.00000000,-0.02572002,0.00319605,-0.00857955,0.00000000,0.00000000,6.00000000,-7.77775807,0.04670190,18.93101510
0.00701954,0.00000000,0.00000000,-0.02371317,0.00234677,-0.00883978,0.00000000,0.00000000,6.00000000,-7.77666414,0.04670621,18.93175139
