vdes_x,vdes_y,vdes_z,vcur_x,vcur_y,vcur_z,fdes_x,fdes_y,fdes_z,fcur_x,fcur_y,fcur_z
0.00000002,0.00000000,0.00000000,0.00023222,0.00446303,0.00142873,0.00000000,0.00000000,6.00000000,-7.79635130,0.04946422,18.92191464
0.00020906,0.00000000,0.00000000,-0.00023690,-0.00312547,-0.00140348,0.00000000,0.00000000,6.00000000,-7.79613253,0.05016778,18.92240519
0.00041849,0.00000000,0.00000000,-0.00493511,0.00099628,-0.00355068,0.00000000,0.00000000,6.00000000,-7.79504036,0.04988703,18.92314108
0.00062789,0.00000000,0.00000000,-0.01831418,0.00382898,-0.01260563,0.00000000,0.00000000,6.00000000,-7.79153932,0.04948340,18.92583442
0.00083732,0.00000000,0.00000000,-0.02257319,0.00591377,-0.01184790,0.00000000,0.00000000,6.00000000,-7.78956827,0.04907265,18.92681583
0.00104673,0.00000000,0.00000000,-0.00708217,0.00435242,-0.00368194,0.00000000,0.00000000,6.00000000,-7.79175646,0.04906462,18.92534393
0.00126471,0.00000000,0.00000000,0.00393172,0.00320417,0.00212774,0.00000000,0.00000000,6.00000000,-7.79394456,0.04905659,18.92387209
0.00147268,0.00000000,0.00000000,-0.00668529,0.00235201,-0.00350149,0.00000000,0.00000000,6.00000000,-7.79175646,0.04906462,18.92534393
0.00167537,0.00000000,0.00000000,-0.03442658,0.00171718,-0.01816192,0.00000000,0.00000000,6.00000000,-7.78519165,0.04908871,18.92975978
0.00188437,0.00000000,0.00000000,-0.03963006,0.00125671,-0.02090470,0.00000000,0.00000000,6.00000000,-7.78190895,0.04910076,18.93196788
0.00209366,0.00000000,0.00000000,-0.00450803,0.00093409,0.00209460,0.00000000,0.00000000,6.00000000,-7.78781634,0.04907750,18.92731179
0.00230312,0.00000000,0.00000000,0.02603122,0.00069876,0.02153273,0.00000000,0.00000000,6.00000000,-7.79481608,0.04905025,18.92191973
0.00251246,0.00000000,0.00000000,0.00011539,0.00050602,0.00576143,0.00000000,0.00000000,6.00000000,-7.79044049,0.04906630,18.92486369
0.00272181,0.00000000,0.00000000,-0.06265204,0.00034651,-0.03331436,0.00000000,0.00000000,6.00000000,-7.77578028,0.04912169,18.93540873
0.00293085,0.00000000,0.00000000,-0.07905202,0.00334660,-0.03959923,0.00000000,0.00000000,6.00000000,-7.76833764,0.04873132,18.94007191
0.00313999,0.00000000,0.00000000,0.00465780,0.00248732,0.00842163,0.00000000,0.00000000,6.00000000,-7.78299978,0.04867574,18.92952570
0.00334998,0.00000000,0.00000000,0.07613527,0.00185936,0.05363028,0.00000000,0.00000000,6.00000000,-7.80027837,0.04860903,18.91653251
0.00355932,0.00000000,0.00000000,0.02663896,0.00135496,0.01939925,0.00000000,0.00000000,6.00000000,-7.79328105,0.04863634,18.92192491
0.00376859,0.00000000,0.00000000,-0.11975329,0.00403786,-0.06577016,0.00000000,0.00000000,6.00000000,-7.76089453,0.04834113,18.94473590
0.00397789,0.00000000,0.00000000,-0.14570311,-0.00015539,-0.08071233,0.00000000,0.00000000,6.00000000,-7.74753993,0.04880805,18.95406320
0.00418707,0.00000000,0.00000000,-0.01404978,-0.00007564,0.00282808,0.00000000,0.00000000,6.00000000,-7.76965053,0.04872179,18.93714508
0.00439635,0.00000000,0.00000000,0.15375120,0.00622114,0.10254927,0.00000000,0.00000000,6.00000000,-7.80814057,0.04774083,18.90918178
0.00460559,0.00000000,0.00000000,0.06557383,0.00455311,0.05012323,0.00000000,0.00000000,6.00000000,-7.79720785,0.04778125,18.91654234
0.00481527,0.00000000,0.00000000,-0.13525067,0.00017297,-0.07531793,0.00000000,0.00000000,6.00000000,-7.75411006,0.04836312,18.94794033
0.00502413,0.00000000,0.00000000,-0.20629745,0.00008142,-0.11989422,0.00000000,0.00000000,6.00000000,-7.72914433,0.04845873,18.96609600
0.00523311,0.00000000,0.00000000,-0.11823555,0.00335846,-0.07076037,0.00000000,0.00000000,6.00000000,-7.73681162,0.04814773,18.96093910
0.00544227,0.00000000,0.00000000,-0.01540904,0.00250466,-0.01461191,0.00000000,0.00000000,6.00000000,-7.75323413,0.04808631,18.94989077
0.00565079,0.00000000,0.00000000,0.02170412,-0.00125301,0.00438149,0.00000000,0.00000000,6.00000000,-7.76067801,0.04847612,18.94522605
0.00586047,0.00000000,0.00000000,0.00563553,0.00197870,-0.00664573,0.00000000,0.00000000,6.00000000,-7.75804666,0.04793716,18.94766909
0.00606949,0.00000000,0.00000000,-0.02050835,0.00144445,-0.02228282,0.00000000,0.00000000,6.00000000,-7.75213377,0.04796065,18.95232608
0.00627871,0.00000000,0.00000000,-0.03495184,-0.00514084,-0.03125078,0.00000000,0.00000000,6.00000000,-7.74731621,0.04881356,18.95625160
0.00649418,0.00000000,0.00000000,-0.02650711,-0.00059306,-0.02771704,0.00000000,0.00000000,6.00000000,-7.74687826,0.04853380,18.95722648
0.00670503,0.00000000,0.00000000,-0.01004682,-0.00043166,-0.01543097,0.00000000,0.00000000,6.00000000,-7.74906851,0.04852564,18.95575373
0.00691405,0.00000000,0.00000000,-0.00262387,-0.00031519,-0.00884787,0.00000000,0.00000000,6.00000000,-7.75016361,0.04852155,18.95501738
0.00712310,0.00000000,0.00000000,0.00242179,-0.00332902,-0.00645047,0.00000000,0.00000000,6.00000000,-7.75103985,0.04893586,18.95477098
0.00733188,0.00000000,0.00000000,0.00136394,0.00065602,-0.00718809,0.00000000,0.00000000,6.00000000,-7.75081920,0.04852067,18.95525598
0.00753242,0.00000000,0.00000000,0.00013955,0.00048208,-0.01037688,0.00000000,0.00000000,6.00000000,-7.75037961,0.04852387,18.95623087
0.00774141,0.00000000,0.00000000,0.00445351,-0.00274287,-0.00757496,0.00000000,0.00000000,6.00000000,-7.75125594,0.04893819,18.95598450
0.00794999,0.00000000,0.00000000,0.00285784,0.00108552,-0.00801379,0.00000000,0.00000000,6.00000000,-7.75103523,0.04852299,18.95646947
0.00815974,0.00000000,0.00000000,0.00601800,0.00080007,-0.00826827,0.00000000,0.00000000,6.00000000,-7.75169090,0.04852211,18.95670808
0.00836885,0.00000000,0.00000000,0.00918293,0.00059046,-0.00358211,0.00000000,0.00000000,6.00000000,-7.75278625,0.04851802,18.95597190
0.00857644,0.00000000,0.00000000,0.00633749,-0.00268417,-0.00509319,0.00000000,0.00000000,6.00000000,-7.75256733,0.04893646,18.95646178
0.00878464,0.00000000,0.00000000,0.00423948,0.00443147,-0.00619410,0.00000000,0.00000000,6.00000000,-7.75234837,0.04823808,18.95694672
0.00899341,0.00000000,0.00000000,0.00187643,0.00016003,-0.01188134,0.00000000,0.00000000,6.00000000,-7.75168962,0.04865975,18.95841134
0.00920195,0.00000000,0.00000000,0.00614753,-0.00316838,-0.00623559,0.00000000,0.00000000,6.00000000,-7.75278338,0.04893879,18.95767523
0.00941041,0.00000000,0.00000000,0.00451777,0.00096031,-0.00458499,0.00000000,0.00000000,6.00000000,-7.75278517,0.04865564,18.95767523
0.00961852,0.00000000,0.00000000,0.00332436,-0.00258714,-0.00337132,0.00000000,0.00000000,6.00000000,-7.75278338,0.04893879,18.95767523
